Onset	Duration	Amplitude	trial_type
18.3	0	1	1
24.186182458372787	0	1	rest
54.211925625056026	0	1	right
59.320220666774546	0	1	rest
74.81369929173961	0	1	left
79.9191085834289	0	1	rest
95.87848166674375	0	1	right
100.88743833343032	0	1	rest
115.02311616677324	0	1	left
120.13072745834944	0	1	rest
134.26612541680225	0	1	right
139.37101804181003	0	1	rest
155.04530395842158	0	1	left
160.15575350001455	0	1	rest
174.56428766676692	0	1	right
179.6725178333698	0	1	rest
194.30161379179918	0	1	left
199.40629954177422	0	1	rest
215.16898191680664	0	1	right
220.27462920844556	0	1	rest
234.8412635417888	0	1	left
239.94629595843145	0	1	rest
254.18682600005997	0	1	right
259.29240108334926	0	1	rest
275.2540534167318	0	1	left
280.36094450003003	0	1	rest
294.76757241676097	0	1	right
299.87565795839765	0	1	rest
314.12623808342033	0	1	left
319.232404375053	0	1	rest
333.6186232917942	0	1	right
338.7271968334215	0	1	rest
353.02182741679724	0	1	left
358.12856604177506	0	1	rest
373.3584157918347	0	1	right
378.37544141681866	0	1	rest
393.0498392917914	0	1	left
398.1569362499984	0	1	rest
412.4544204583624	0	1	right
417.5628994584084	0	1	rest
432.5443518333602	0	1	left
437.6523638750194	0	1	rest
452.3968997083837	0	1	end
